t,rt,cond,sub,a,r,acc,s,block
1,1272,2,1,2,1,0,2,1
2,1170,2,1,2,1,1,1,1
3,963,2,1,2,1,1,3,1
4,677,2,1,2,1,1,3,1
5,1216,2,1,2,1,1,1,1
6,888,2,1,2,0,0,2,1
7,694,2,1,2,1,1,1,1
8,793,2,1,2,1,1,3,1
9,NaN,2,1,1,1,1,2,1
10,620,2,1,2,1,1,1,1
11,770,2,1,2,0,1,3,1
12,NaN,2,1,1,1,1,2,1
13,727,2,1,2,1,1,1,1
14,NaN,2,1,1,0,0,3,1
15,NaN,2,1,1,1,1,2,1
16,523,2,1,2,0,1,1,1
17,NaN,2,1,1,1,1,2,1
18,975,2,1,2,0,1,3,1
19,NaN,2,1,1,1,1,2,1
20,NaN,2,1,1,0,0,3,1
21,1740,2,1,2,0,1,1,1
22,1256,2,1,2,1,1,1,1
23,NaN,2,1,1,1,1,2,1
24,NaN,2,1,1,0,0,3,1
25,1519,2,1,2,1,1,3,1
26,NaN,2,1,1,1,1,2,1
27,769,2,1,2,1,1,1,1
28,NaN,2,1,1,0,1,2,1
29,955,2,1,2,1,1,1,1
30,1349,2,1,2,1,1,3,1
31,NaN,2,1,1,0,0,1,1
32,NaN,2,1,1,0,1,2,1
33,1677,2,1,2,1,1,3,1
34,1920,2,1,2,0,0,2,1
35,1429,2,1,2,1,1,1,1
36,951,2,1,2,1,1,3,1
37,NaN,2,1,1,0,1,2,1
38,1268,2,1,2,1,1,3,1
39,735,2,1,2,1,1,1,1
40,1003,2,1,2,1,1,3,1
41,1353,2,1,2,0,0,2,1
42,996,2,1,2,1,1,1,1
43,980,2,1,2,1,1,1,1
44,723,2,1,2,1,1,3,1
45,NaN,2,1,1,1,1,2,1
46,763,2,1,2,1,1,1,1
47,509,2,1,2,1,1,3,1
48,1567,2,1,2,0,0,2,1
49,NaN,2,1,1,1,1,2,1
50,735,2,1,2,1,1,1,1
51,683,2,1,2,1,1,3,1
52,681,2,1,2,1,1,3,1
53,NaN,2,1,1,0,1,2,1
54,557,2,1,2,1,1,1,1
55,NaN,2,1,1,0,1,2,1
56,641,2,1,2,1,1,3,1
57,800,2,1,2,1,1,1,1
58,960,2,1,2,1,1,1,1
59,NaN,2,1,1,1,1,2,1
60,716,2,1,2,1,1,3,1
61,NaN,2,1,1,1,1,2,1
62,700,2,1,2,1,1,3,1
63,401,2,1,2,1,1,1,1
64,573,2,1,2,0,1,3,1
65,NaN,2,1,1,1,1,2,1
66,654,2,1,2,1,1,1,1
67,NaN,2,1,1,1,1,2,1
68,744,2,1,2,1,1,3,1
69,555,2,1,2,1,1,1,1
70,NaN,2,1,1,1,0,3,1
71,688,2,1,2,0,1,1,1
72,NaN,2,1,1,1,1,2,1
73,519,2,1,2,1,1,1,1
74,NaN,2,1,1,0,1,2,1
75,703,2,1,2,1,1,3,1
76,NaN,2,1,1,1,1,2,1
77,688,2,1,2,1,1,3,1
78,935,2,1,2,1,1,1,1
79,594,2,1,2,1,1,1,1
80,717,2,1,2,1,1,3,1
81,NaN,2,1,1,1,1,2,1
82,551,2,1,2,1,1,1,1
83,542,2,1,2,1,1,3,1
84,NaN,2,1,1,0,1,2,1
85,398,2,1,2,1,1,3,1
86,NaN,2,1,1,1,1,2,1
87,737,2,1,2,1,1,1,1
88,764,2,1,2,1,1,3,1
89,554,2,1,2,1,1,1,1
90,NaN,2,1,1,0,1,2,1
91,628,2,1,2,1,1,3,1
92,752,2,1,2,1,1,1,1
93,NaN,2,1,1,1,1,2,1
94,NaN,2,1,1,1,1,2,1
95,664,2,1,2,1,1,3,1
96,449,2,1,2,1,1,1,1
97,657,2,1,2,1,1,3,1
