sub,t,s,a,acc,r,rt,cond,block
1,1,3,2,NaN,1,513,1,1
1,2,1,1,0,0,NaN,1,1
1,3,2,2,0,0,536,1,1
1,4,2,1,1,1,NaN,1,1
1,5,3,2,NaN,0,746,1,1
1,6,1,2,1,1,859,1,1
1,7,2,1,1,1,NaN,1,1
1,8,1,2,1,1,954,1,1
1,9,3,1,NaN,0,NaN,1,1
1,10,2,1,1,1,NaN,1,1
1,11,1,2,1,1,777,1,1
1,12,3,1,NaN,0,NaN,1,1
1,13,1,2,1,1,675,1,1
1,14,2,1,1,1,NaN,1,1
1,15,3,2,NaN,0,683,1,1
1,16,1,2,1,1,632,1,1
1,17,2,2,0,0,864,1,1
1,18,3,1,NaN,0,NaN,1,1
1,19,2,1,1,1,NaN,1,1
1,20,1,2,1,1,760,1,1
1,21,3,1,NaN,1,NaN,1,1
1,22,2,1,1,1,NaN,1,1
1,23,1,2,1,1,638,1,1
1,24,3,1,NaN,1,NaN,1,1
1,25,2,2,0,0,738,1,1
1,26,1,2,1,1,777,1,1
1,27,3,1,NaN,0,NaN,1,1
1,28,1,2,1,0,599,1,1
1,29,3,1,NaN,0,NaN,1,1
1,30,2,1,1,1,NaN,1,1
1,31,1,2,1,1,724,1,1
1,32,3,1,NaN,1,NaN,1,1
1,33,2,1,1,1,NaN,1,1
1,34,2,1,1,1,NaN,1,1
1,35,1,2,1,1,642,1,1
1,36,3,1,NaN,1,NaN,1,1
1,37,3,1,NaN,0,NaN,1,1
1,38,1,2,1,0,654,1,1
1,39,2,1,1,1,NaN,1,1
1,40,3,1,NaN,1,NaN,1,1
1,41,2,1,1,1,NaN,1,1
1,42,1,2,1,1,611,1,1
1,43,2,1,1,1,NaN,1,1
1,44,1,2,1,1,665,1,1
1,45,3,1,NaN,1,NaN,1,1
1,46,1,2,1,1,703,1,1
1,47,2,1,1,0,NaN,1,1
1,48,3,1,NaN,0,NaN,1,1
1,49,2,1,1,1,NaN,1,1
1,50,1,2,1,1,707,1,1
1,51,3,2,NaN,1,910,1,1
1,52,3,2,NaN,1,655,1,1
1,53,2,1,1,1,NaN,1,1
1,54,1,2,1,0,690,1,1
1,55,1,2,1,1,713,1,1
1,56,2,1,1,1,NaN,1,1
1,57,3,2,NaN,0,641,1,1
1,58,1,2,1,1,630,1,1
1,59,2,1,1,1,NaN,1,1
1,60,3,2,NaN,1,729,1,1
1,61,2,1,1,1,NaN,1,1
1,62,1,2,1,1,520,1,1
1,63,3,2,NaN,1,575,1,1
1,64,3,2,NaN,1,733,1,1
1,65,2,1,1,1,NaN,1,1
1,66,1,2,1,1,735,1,1
1,67,3,2,NaN,0,907,1,1
1,68,1,2,1,0,607,1,1
1,69,2,1,1,1,NaN,1,1
1,70,1,2,1,1,567,1,1
1,71,2,1,1,0,NaN,1,1
1,72,3,2,NaN,0,647,1,1
1,73,3,2,NaN,1,765,1,1
1,74,1,2,1,1,687,1,1
1,75,2,1,1,1,NaN,1,1
1,76,2,1,1,1,NaN,1,1
1,77,1,2,1,1,584,1,1
1,78,3,2,NaN,1,656,1,1
1,79,1,2,1,0,963,1,1
1,80,3,2,NaN,0,788,1,1
1,81,2,1,1,1,NaN,1,1
1,82,2,1,1,0,NaN,1,1
1,83,1,2,1,1,703,1,1
1,84,3,2,NaN,0,796,1,1
1,85,3,1,NaN,0,NaN,1,1
1,86,2,1,1,1,NaN,1,1
1,87,1,2,1,1,637,1,1
1,88,3,2,NaN,0,785,1,1
1,89,2,1,1,1,NaN,1,1
1,90,1,2,1,1,682,1,1
1,91,2,1,1,1,NaN,1,1
1,92,1,2,1,1,667,1,1
1,93,3,1,NaN,1,NaN,1,1
1,94,2,1,1,1,NaN,1,1
1,95,3,1,NaN,1,NaN,1,1
1,96,1,2,1,0,754,1,1
1,97,1,2,1,1,701,1,1
1,98,2,1,1,0,NaN,1,1
1,99,3,1,NaN,0,NaN,1,1
1,100,3,1,NaN,0,NaN,1,1
1,101,1,2,1,1,759,1,1
1,102,2,1,1,0,NaN,1,1
1,103,3,1,NaN,1,NaN,1,1
1,104,2,1,1,1,NaN,1,1
1,105,1,2,1,0,647,1,1
1,106,3,1,NaN,1,NaN,1,1
1,107,2,1,1,1,NaN,1,1
1,108,1,2,1,1,830,1,1
1,109,1,2,1,0,812,1,1
1,110,2,1,1,1,NaN,1,1
